A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,FGF20,Fibroblast growth factor 20,FGF-20; FGF20; Fibroblast growth factor 20; RHDA2,Protein,"23,499",1-211 (Fibroblast growth factor 20),,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,FGF21,Fibroblast growth factor 21,FGF-21; FGF21; Fibroblast growth factor 21; UNQ3115; PRO10196,Protein,"22,300",29 – 209,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,FGF22,Fibroblast growth factor 22,FGF-22; FGF22; Fibroblast growth factor 22; UNQ2500/PRO5800,Protein,"19,663",23 – 170,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,FGF22,Fibroblast growth factor 22,FGF-22; FGF22; Fibroblast growth factor 22; UNQ2500/PRO5800,Protein,"19,663",24 – 170,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,FGF23,Fibroblast growth factor 23 (phosphatonin),ADHR; FGF-23; FGF23; FGFN; Fibroblast growth factor 23; Fibroblast growth factor 23 C-terminal peptide; Fibroblast growth factor 23 N-terminal peptide; HFTC2; HPDR2; HYPF; Phosphatonin; PHPTC; tumor-derived hypophosphatemia inducing factor; Tumor-derived hypophosphatemia-inducing factor,Protein,"27,954",25-251,Furin,,,,,,,,,,,,,,,,T,F,F,T,T,F,F,T,F,
,F,FLT3L,Fms-related tyrosine kinase 3 ligand,FL; FLG3L; Flt3 ligand; FLT3L; FLT3LG; fms related receptor tyrosine kinase 3 ligand; fms related tyrosine kinase 3 ligand; Fms-related tyrosine kinase 3 ligand; SL cytokine,Protein,"26,416",27 – 235,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,FSH,Follicle-stimulating hormone,Follitropin subunit beta; Follicle-stimulating hormone beta subunit; Follitropin beta chain,Protein,"14,700",19-129,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,CX3CL1,Fractalkine,"ABCD-3; C-X3-C motif chemokine 1; C-X3-C motif chemokine ligand 1; C3Xkine; chemokine (C-X3-C motif) ligand 1; CX3C membrane-anchored chemokine; CX3CL1; CXC3; CXC3C; FKN; Fractalkine; Neurotactin; NTN; NTT; Processed fractalkine; SCYD1; small inducible cytokine subfamily D (Cys-X3-Cys),member 1 (fractalkine,neurotactin); small inducible cytokine subfamily D (Cys-X3-Cys),member-1; Small-inducible cytokine D1; X3CL1",Protein,"42,203",25-397,Metalloprotease ADAM17,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GAL,Galanin,ETL8; GAL; GAL-GMAP; GAL1; GALA; Galanin; galanin and GMAP prepropeptide; Galanin message-associated peptide; Galanin peptides; galanin prepropeptide; galanin-message-associated peptide; galanin-related peptide; galanin/GMAP prepropeptide; GALN; GLNN; GMAP; MGC40167,Protein,"13,302","33-62,65-123",,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
56-12-02,T,GABA,Gamma-aminobutyric acid,,Small molecule,,,,103.12,119,116,CHEMBL96,https://commonchemistry.cas.org/detail?cas_rn=56-12-02&search=56-12-02,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=119,http://www.chemspider.com/Chemical-Structure.116.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL96,,GAD1,Glutamate decarboxylase 1,GAD-67,Q99259,,,F,F,T,F,T,F,F,T,F,
,F,GIP,Gastric inhibitory polypeptide,Gastric inhibitory polypeptide; GIP; Glucose-dependent insulinotropic polypeptide; Incretin hormone,Protein,"17,108",52-93,PC2 (SPC2); PC1/3 (SPC3),,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,GAST,Gastrin,Big gastrin; G14; G17; G34; G52; G6; GAS; GAST; Gastrin; Gastrin component I; Gastrin component II; Gastrin component III; Gastrin-14; Gastrin-17; Gastrin-34; Gastrin-52; Gastrin-6; Gastrin-71; preprogastrin,Protein,"11,394",22 – 92(Gastrin-71); 41 – 92(Gastrin-52); 59 – 92 (Big gastrin); 76 – 92(Gastrin); 79 – 92(Gastrin-14); 87 – 92(Gastrin-6),,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
,F,GRP; GRP-10,Gastrin releasing peptide,BN; bombesin; gastrin releasing peptide; Gastrin-releasing peptide; GRP; GRP-10; neuromedin C; Neuromedin-C; pre-progastrin releasing peptide; prepro-GRP; preproGRP; proGRP; testicular tissue protein Li 103,Protein,"16,213",24-50 (gastrin-releasing peptide); 41-50 (neuromedin-C),,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,GHRL,Ghrelin,"Appetite-regulating hormone; Ghrelin; ghrelin and obestatin prepropeptide; ghrelin,growth hormone secretagogue receptor ligand; Ghrelin-27; Ghrelin-28; ghrelin/obestatin preprohormone; ghrelin/obestatin prepropeptide; GHRL; Growth hormone secretagogue; Growth hormone-releasing peptide; In2c-preproghrelin; Motilin-related peptide; MTLRP; Obestatin; prepro-appetite regulatory hormone; preproghrelin; Protein M46",Protein,"12,911",24 – 51  (Ghrelin-28); 24 – 50 (Ghrelin-27),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,GDNF,Glial cell line-derived neurotrophic factor,Astrocyte-derived trophic factor; ATF; ATF1; ATF2; GDNF; glial cell derived neurotrophic factor; glial cell line derived neurotrophic factor; Glial cell line-derived neurotrophic factor; HFB1-GDNF; hGDNF; HSCR3,Protein,"23,720",78 – 211,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,GCG (GLP-1),Glucagon (Glucagon-like peptide 1),GCG; Glicentin; Glicentin-related polypeptide; GLP-1; GLP-1(7-36); GLP-1(7-37); GLP-2; GLP1; GLP2; GLUC; Glucagon; Glucagon-like peptide 1; Glucagon-like peptide 1(7-36); Glucagon-like peptide 1(7-37); Glucagon-like peptide 2; GRPP; Incretin hormone; OXM; OXY; Oxyntomodulin; preproglucagon; Pro-glucagon,Protein,"20,909",Glicentin 21-89; Glicentin-related polypeptide 21-50; Oxyntomodulin 53-89; Glucagon 53-81; Glucagon-like peptide 1 92-128; Glucagon-like peptide 1(7-37) 98-128; Glucagon-like peptide 1(7-36) 98-127; Glucagon-like peptide 2 146-178,PCSK2/PC2,,,,,,,,,,,,,,,,T,F,T,F,T,F,F,T,F,
56-86-0,T,Glu,Glutamate,2-Aminopentanedioic acid,Small molecule,,,,147.13,104813,591,ChEMBL276389,https://commonchemistry.cas.org/detail?cas_rn=56-86-0&search=56-86-0,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=104813,http://www.chemspider.com/Chemical-Structure.591.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL276389,,GLS,"Glutaminase kidney isoform,mitochondrial","GLS1,KIAA0838",O94925,,,F,F,T,F,T,F,F,T,F,
56-40-6,T,Gly,Glycine,,Small molecule,,,,75.07,750,730,CHEMBL773,https://commonchemistry.cas.org/detail?cas_rn=56-40-6&search=56-40-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=750,http://www.chemspider.com/Chemical-Structure.730.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL773,,SHMT,Serine hydroxymethyltransferase,14 kDa protein; CSHMT; Cytoplasmic serine hydroxymethyltransferase; GLYC; MGC15229; MGC24556; Serine hydroxymethyltransferase 1 (soluble); Serine methylase;,P34896,,,F,F,T,F,T,F,F,T,F,
,F,GnRH,Gonadotropin-releasing hormone,GnRH; GnRH-associated peptide 1; GnRH-associated peptide I; GnRH-I; GNRH1; GON1; Gonadoliberin I; Gonadoliberin-1; Gonadorelin; gonadotropin releasing hormone 1; gonadotropin-releasing hormone 1; gonadotropin-releasing hormone 1 (luteinizing-releasing hormone); Gonadotropin-releasing hormone I; GRH; leuteinizing-releasing hormone; LH-RH I; LHRH; LNRH; Luliberin I; Luteinizing hormone-releasing hormone I; luteinizing-releasing hormone; Progonadoliberin I; Progonadoliberin-1; prolactin release-inhibiting factor,Protein,"10,380",24-92 (Progonadoliberin-1); 24-33 (Gonadoliberin-1); 37-92 (GnRH-associated peptide 1),MEP1A,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,GRN,Granulin,Acrogranin; CLN11; epithelin; Epithelin precursor; Epithelin-1; Epithelin-2; GEP; Glycoprotein 88; Glycoprotein of 88 Kda; GP88; granulin; Granulin A; Granulin B; Granulin C; Granulin D; Granulin E; Granulin F; Granulin G; Granulin precursor; Granulin-1; Granulin-2; Granulin-3; Granulin-4; Granulin-5; Granulin-6; Granulin-7; granulin-epithelin; Granulins; GRN; Paragranulin; PC cell-derived growth factor; PCDGF; PEPI; PGRN; Proepithelin; Progranulin,Protein,"63,544 (isoform 1); 46,991 (isoform 2); 44,132 (isoform 3)",18 – ?47(Paragranulin); ?58 – ?113(Granulin-1); 123 – 179(Granulin-2); 206 – 261(Granulin-3); 281 – 336(Granulin-4); 364 – 417(Granulin-5); 442 – ?496(Granulin-6); ?518 – ?573(Granulin-7),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,G-CSF,Granulocyte colony-stimulating factor,C17orf33; colony stimulating factor 3; colony stimulating factor 3 (granulocyte); CSF3; CSF3OS; Filgrastim; G-CSF; GCSF; Granulocyte colony-stimulating factor; granulocyte-colony stimulating factor; Lenograstim; Pluripoietin,Protein,"22,293",30-307 (Granulocyte colony-stimulating factor),,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,GM-CSF (CSF2),Granulocyte-macrophage colony-stimulating factor,colony stimulating factor 2; colony stimulating factor 2 (granulocyte-macrophage); Colony-stimulating factor; CSF; CSF2; GM-CSF; GMCSF; granulocyte macrophage-colony stimulating factor; granulocyte-macrophage colony stimulating factor; Granulocyte-macrophage colony-stimulating factor; MGC131935; MGC138897; molgramostim; Molgramostin; Sargramostim,Protein,"16,295",18 – 144,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GREM1,Gremlin-1,"C15DUPq; Cell proliferation-inducing gene 2 protein; CKTSF1B1; colorectal adenoma and carcinoma 1; CRAC1; CRCS4; Cysteine knot superfamily 1,BMP antagonist 1; DAN domain family member 2; DAND2; Down-regulated in Mos-transformed cells protein; DRM; DUP15q; GREM1; GREMLIN; gremlin 1,cysteine knot superfamily,homolog; gremlin 1,cysteine knot superfamily,homolog (Xenopus laevis); gremlin 1,DAN family BMP antagonist; gremlin 1-like protein; Gremlin-1; hereditary mixed polyposis syndrome; HMPS; HMPS1; IHG-2; Increased in high glucose protein 2; increased in high glucose-2; MGC126660; MPSH; PIG2; proliferation-inducing gene 2",Protein,"20,697",25 – 184,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GREM2,Gremlin-2,"CKTSF1B2; Cysteine knot superfamily 1,BMP antagonist 2; DAN domain family member 3; DAND3; GREM2; gremlin 2,cysteine knot superfamily,homolog; gremlin 2,cysteine knot superfamily,homolog (Xenopus laevis); gremlin 2,DAN family BMP antagonist; Gremlin-2; PRDC; Protein related to DAN and cerberus; STHAG9",Protein,"19,320",22-168,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GAS6,Growth arrest-specific protein 6,AXL receptor tyrosine kinase ligand; AXL stimulatory factor; AXLLG; AXSF; DKFZp666G247; FLJ34709; GAS-6; GAS6; growth arrest specific 6; growth arrest-specific 6; Growth arrest-specific protein 6,Protein,"79,677",31-721,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,GDF1,Growth differentiation factor 1,Ceramide synthase 1; CERS1; CHTD6; DORV; DTGA3; Embryonic growth/differentiation factor 1; GDF-1; GDF1; growth differentiation factor 1; LAG1; LAG1 longevity assurance homolog 1; LASS1; Longevity assurance gene 1 protein homolog 1; Protein UOG-1; RAI; UOG1,Protein,"39,475",254-372,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF10,Growth differentiation factor 10,BIP; BMP-3B; BMP3B; Bone morphogenetic protein 3B; Bone-inducing protein; GDF-10; GDF10; growth differentiation factor 10; Growth/differentiation factor 10,Protein,"53,122",369-478,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF11,Growth differentiation factor 11,BMP-11; BMP11; Bone morphogenetic protein 11; GDF-11; GDF11; growth differentiation factor 11; Growth/differentiation factor 11,Protein,"45,091",299-407,BMP1; Furin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF15,Growth differentiation factor 15,GDF-15; GDF15; growth differentiation factor 15; Growth/differentiation factor 15; Macrophage inhibitory cytokine 1; MIC-1; MIC1; NAG-1; non-steroidal anti-inflammatory drug-activated gene-1; NRG-1; NSAID (nonsteroidal anti-inflammatory drug)-activated protein 1; NSAID-activated gene 1 protein; NSAID-regulated gene 1 protein; PDF; PLAB; Placental bone morphogenetic protein; Placental TGF-beta; Prostate differentiation factor; PTGF-beta; PTGFB,Protein,"34,140",195 – 308,Golgi apparatus casein kinase,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF2 (BMP9),Growth differentiation factor 2 (Bone morphogenetic protein 9),BMP-9; BMP9; Bone morphogenetic protein 9; GDF-2; GDF2; growth differentiation factor 2; Growth/differentiation factor 2; HHT5,Protein,"47,320",320-429 (Growth/differentiation factor 2),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,,PTN,Pleiotrophin,,,,,,,,,,,,,,,,,,,,,F,F,F,F,T,F,F,T,F,
,,MDK,Midkine,,,,,,,,,,,,,,,,,,,,,F,F,F,F,T,F,F,T,F,
,F,GDF2 (BMP9),Growth differentiation factor 2 (Bone morphogenetic protein 9),BMP-9; BMP9; Bone morphogenetic protein 9; GDF-2; GDF2; growth differentiation factor 2; Growth/differentiation factor 2; HHT5,Protein,"47,320",320-429 (Growth/differentiation factor 2),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF3,Growth differentiation factor 3,gdf 3; gdf-3; gdf3; growth differentiation factor 3; Growth/differentiation factor 3; KFS3; MCOP7; MCOPCB6,Protein,41387,251 – 364,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BDA1C; BMP-14; BMP14; Bone morphogenetic protein 14; Cartilage-derived morphogenetic protein 1; cartilage-derived morphogenetic protein-1; CDMP-1; CDMP1; DUPANS; GDF-5; GDF5; growth differentiation factor 5; Growth/differentiation factor 5; LAP-4; LAP4; Lipopolysaccharide-associated protein 4; LPS-associated protein 4; OS5; Radotermin; SYM1B; SYNS2,Growth differentiation factor 5 (Bone morphogenetic protein 14),BDA1C; BMP-14; BMP14; Bone morphogenetic protein 14; Cartilage-derived morphogenetic protein 1; cartilage-derived morphogenetic protein-1; CDMP-1; CDMP1; DUPANS; GDF-5; GDF5; growth differentiation factor 5; Growth/differentiation factor 5; LAP-4; LAP4; Lipopolysaccharide-associated protein 4; LPS-associated protein 4; OS5; Radotermin; SYM1B; SYNS2,Protein,"55,395",382 – 501,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF6 (BMP13),Growth differentiation factor 6 (Bone morphogenetic protein 13),BMP-13; BMP13; Bone morphogenetic protein 13; CDMP2; GDF-6; GDF16; GDF6; growth differentiation factor 6; Growth/differentiation factor 16; Growth/differentiation factor 6; KFM; KFS; KFS1; KFSL; SGM1; SYNS4,Protein,"50,662",336-455,Sequence predicted to be cleaved by furin 33,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF7,Growth differentiation factor 7,BMP12; GDF-7; GDF7; growth differentiation factor 7; Growth/differentiation factor 7,Protein,"46,950",322-450,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF8 (MSTN),Growth differentiation factor 8 (Myostatin),GDF-8; GDF8; growth differentiation factor 8; Growth/differentiation factor 8; MSLHP; MSTN; Myostatin,Protein,"42,750",267-375,BMP-1,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,GDF9,Growth differentiation factor 9,GDF-9; GDF9; growth differentiation factor 9; Growth/differentiation factor 9; POF14,Protein,"51,444",320-454,,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,GH,Growth hormone (Somatotropin),GH; GH-N; GH1; GHB5; GHN; Growth hormone; Growth hormone 1; growth hormone B5; hGH-N; IGHD1A; IGHD1B; IGHD2; Pituitary growth hormone; SOMA; Somatotropin,Protein,"24,847",27-217,LTA4H,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,SST (GHIH),Somatostatin (Growth hormone inhibiting hormone),Growth hormone release-inhibiting factor; Neuronostatin; NST; prepro-somatostatin; SMS; SMST; Somatostatin; Somatostatin-14; Somatostatin-28; SST; SST-14,Protein,"12,736",89 – 116(Somatostatin-28); 103 – 116(Somatostatin-14),Proprotein convertase 2,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,GHRH (GRF),Growth hormone releasing hormone (Somatoliberin),GHRF; GHRH; GRF; growth hormone releasing factor; growth hormone releasing hormone; Growth hormone-releasing factor; Growth hormone-releasing hormone; INN; MGC119781; sermorelin; SLIB; Somatocrinin; Somatoliberin; Somatorelin,Protein,"12,447",32-75 (somatoliberin),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,GN,Guanylin,"GCAP-I; guanylate cyclase activator 2A; guanylate cyclase activator 2A (guanylin 2,intestinal,heat-stable); guanylate cyclase activator 2A (guanylin); Guanylate cyclase-activating protein 1; Guanylate cyclase-activating protein I; Guanylin; GUC2A; GUCA2; GUCA2A; HMW-guanylin; OTTHUMP00000007926; prepro-guanylin; STARA",Protein,"12,388",101 – 115,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,HBEGF,Heparin-binding EGF-like growth factor,Diphtheria toxin receptor; DTR; DT-R; DTS; HB-EGF; HEGFL; Heparin-binding EGF; Heparin-binding EGF-like growth factor; diphtheria toxin receptor (heparin-binding EGF-like growth factor); diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor); DTSF; heparin-binding epidermal growth factor; Proheparin-binding EGF-like growth factor,Protein,"23,067",20 – 208 (Proheparin-binding EGF-like growth factor); 63 – 148 (Heparin-binding EGF-like growth factor),ADAM,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,HGF,Hepatocyte growth factor,DFNB39; F-TCF; fibroblast-derived tumor cytotoxic factor; Hepatocyte growth factor; hepatocyte growth factor (hepapoietin A; Hepatocyte growth factor alpha chain; Hepatocyte growth factor beta chain; Hepatopoeitin-A; Hepatopoietin-A; HGF; HGFB; HPTA; lung fibroblast-derived mitogen; Scatter factor; scatter factor); SF,Protein,"Isoform 1 83,134; Isoform 2 33,766; Isoform 3 82,602; Isoform 4 34,547; Isoform 5 33,234; Isoform 6 24,116; ",Alpha chain 32 – 494; Beta chain 495 – 728,HGF activator,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,MSP,Hepatocyte growth factor-like protein,D3F15S2; DNF15S2; Hepatocyte growth factor-like protein; Hepatocyte growth factor-like protein alpha chain; Hepatocyte growth factor-like protein beta chain; hepatocyte growth factor-like protein homolog; HGFL; macrophage stimulating 1; macrophage stimulating 1 (hepatocyte growth factor-like); Macrophage stimulatory protein; Macrophage-stimulating protein; MSP; MST1; NF15S2,Protein,"80,320",19-711,HPN/Hepsin,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,HDGF,Hepatoma-derived growth factor,DKFZp686J1764; epididymis secretory sperm binding protein; FLJ96580; HDGF; heparin binding growth factor; hepatoma derived growth factor; Hepatoma-derived growth factor; High mobility group protein 1-like 2; high-mobility group protein 1-like; HMG-1L2; HMG1L2,Protein,"26,788",1-240,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,HAMP,Hepcidin,HAMP; HEPC; Hepc20; Hepc25; Hepcidin; hepcidin antimicrobial peptide; hepcidin preproprotein; Hepcidin-20; Hepcidin-25; HFE2B; LEAP-1; LEAP1; liver-expressed antimicrobial peptide; Liver-expressed antimicrobial peptide 1; P81172; PLTR; Putative liver tumor regressor,Protein,"9,408",60-84,Furin,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
51-45-6,T,Histamine,Histamine,2- (1H-Imidazol-4-yl)ethanamine; 200-118-4; Ergotidine; Ergamine,Small molecule,,,,111.145,774,753,CHEMBL90,https://commonchemistry.cas.org/detail?cas_rn=51-45-6&search=51-45-6,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=774,http://www.chemspider.com/Chemical-Structure.753.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/CHEMBL90,,HDC,Histidine decarboxylase,N/A,P19113,,,T,F,T,F,T,F,F,T,F,
,F,hCG (cG-alpha),Human chorionic gonadotropin,"Anterior pituitary glycoprotein hormones common subunit alpha; CG-alpha; CGA; Choriogonadotropin alpha chain; Chorionic gonadotrophin subunit alpha; chorionic gonadotropin,alpha polypeptide; Follicle-stimulating hormone alpha chain; follicle-stimulating hormone alpha subunit; Follitropin alpha chain; FSH-alpha; FSHA; GLHA; Glycoprotein hormones alpha chain; glycoprotein hormones,alpha polypeptide; GPA1; GPHa; GPHA1; HCG; LHA; LSH-alpha; Luteinizing hormone alpha chain; Lutropin alpha chain; Thyroid-stimulating hormone alpha chain; Thyrotropin alpha chain; TSH-alpha; TSHA",Protein,"13,075",25 – 116,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,hCG (cG-beta),Human chorionic gonadotropin,"CG-beta; CGB; CGB3; CGB5; CGB7; CGB8; CGHB; Choriogonadotropin subunit beta; Choriogonadotropin subunit beta 3; Chorionic gonadotrophin chain beta; chorionic gonadotropin beta 3 subunit; chorionic gonadotropin beta chain; chorionic gonadotropin beta subunit; chorionic gonadotropin beta subunit 3; Chorionic gonadotropin chain beta; chorionic gonadotropin subunit beta 3; chorionic gonadotropin,beta polypeptide; hCGB",Protein,"17,739 (isoform 1); 19,053 (isoform 2)",21 – 165,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,hPL (CS-1),Somatomammotropin,Choriomammotropin; chorionic somatomammotropin A; Chorionic somatomammotropin hormone 1; Chorionic somatomammotropin hormone 2; chorionic somatomammotropin-1; CS-1; CSA; CSH1; CSH2; CSMT; GHB3; growth hormone B3; hCS-1; hCS-A; Lactogen; PL; Placental lactogen,Protein,"25,020",27-217 (Chorionic somatomammotropin hormone 1),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,hPL (CS-2),Human placental lactogen 2,Choriomammotropin; chorionic somatomammotropin B; Chorionic somatomammotropin hormone 2; CS-2; CSB; CSH2; CSH2; GHB1; growth hormone B1; hCS-B; Lactogen; PL; Placental lactogen,Protein,"24,994",27-217 (Chorionic somatomammotropin hormone 2),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INHA,Inhibin A,"A-inhibin subunit; INHA; Inhibin alpha chain; inhibin alpha subunit; inhibin subunit alpha; inhibin,alpha",Protein,"39,670",233 – 366,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INHBA,Inhibin beta A chain,"Activin beta-A chain; EDF; erythroid differentiation factor; Erythroid differentiation protein; follicle-stimulating hormone-releasing protein; FRP; FSH-releasing protein; INHBA; Inhibin beta A chain; inhibin beta A subunit; inhibin subunit beta A; inhibin,beta A; inhibin,beta A (activin A,activin AB alpha polypeptide); Inhibin,beta-1",Protein,"47,442",311 – 426,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INHBB,Inhibin beta B chain,"activin AB beta polypeptide; Activin beta-B chain; INHBB; Inhibin beta B chain; inhibin beta B subunit; inhibin subunit beta B; inhibin,beta B; Inhibin,beta-2; MGC157939",Protein,"45,122",293 – 407,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INHBC,Inhibin beta C chain,"Activin beta-C chain; IHBC; INHBC; Inhibin beta C chain; inhibin beta C subunit; inhibin subunit beta C; inhibin,beta C",Protein,"38,238",237-352,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INHBE,Inhibin beta E chain,"activin beta E; Activin beta-E chain; INHBE; Inhibin beta E chain; inhibin beta E subunit; inhibin subunit beta E; inhibin,beta E; MGC4638",Protein,"38,561",237-250,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,INS,Insulin,"IDDM; IDDM1; IDDM2; ILPR; ins; Insulin; insulin (A chain,B chain); Insulin A chain; Insulin B chain; IRDN; MODY10; PNDM4; preproinsulin; proinsulin",Protein,"11,981",25-54(B chain); 90-110(A chain),Prohormone convertases (PC1 and PC2); exoprotease carboxypeptidase E,,,,,,,,,,,,,,,,T,F,F,T,T,F,F,T,F,
,F,IGF1,Insulin-like growth factor I,IBP1; IGF; IGF-I; IGF-IA; IGF-IB; IGF1; IGF1A; IGFI; insulin like growth factor 1; insulin-like growth factor 1 (somatomedin C); Insulin-like growth factor I; Insulin-like growth factor IA; insulin-like growth factor IB; Mechano growth factor; MGF; Somatomedin-C,Protein,"21,841",49-118,,,,,,,,,,,,,,,,,T,F,F,T,T,F,F,T,F,
,F,IGF2,Insulin-like growth factor II,C11orf43; FLJ22066; FLJ44734; GRDF; IGF-II; IGF2; INSIGF; insulin like growth factor 2; insulin-like growth factor 2; insulin-like growth factor 2 (somatomedin A); Insulin-like growth factor II; Insulin-like growth factor II Ala-25 Del; insulin-like growth factor type 2; pp9974; Preptin; putative insulin-like growth factor II associated protein; somatomedin A; Somatomedin-A; SRS3; T3M-11-derived growth factor,Protein,"20,140 (isoform 1); 20,477 (isoform 2); 26,331 (isoform 3)",25 – 91( Insulin-like growth factor II); 26 – 91(Insulin-like growth factor II Ala-25 Del); 93 – 126 (Preptin),Proprotein convertase 4,,,,,,,,,,,,,,,,T,F,F,T,T,F,F,T,F,
,F,INFA1 (INFA13),Interferon alpha-1/13,"IFL; IFN; IFN-ALPHA; IFN-alpha-1/13; IFN-alphaD; IFNA1; IFNA1/13; IFNA13; IFNA@; interferon alpha 1; interferon alpha 1b; Interferon alpha-1/13; Interferon alpha-D; interferon,alpha 1; interferon,alpha 13; interferon-alpha1; LeIF D",Protein,"21,725",24 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA2,Interferon alpha-2,"alpha-2a interferon; IFN-alpha-2; IFN-alphaA; IFNA; IFNA2; IFNA2A; IFNA2B; IFNA2C; INFA2; interferon alpha 2; interferon alpha 2a; interferon alpha 2b; interferon alpha A; Interferon alpha-2; Interferon alpha-A; interferon,alpha 2; LeIF A; MGC125764; MGC125765",Protein,"21,578",24-188,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA4,Interferon alpha-4,IFN-alpha-4; IFN-alpha4a; IFNA4; INFA4; interferon alpha 4; Interferon alpha-4; Interferon alpha-4B; Interferon alpha-76; Interferon alpha-M1,Protein,"21,808",24 – 189,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,INFA5,Interferon alpha-5,"IFN-alpha-5; IFN-alphaG; IFNA5; INA5; INFA5; interferon alpha 5; Interferon alpha-5; Interferon alpha-61; Interferon alpha-G; interferon,alpha 5; LeIF G",Protein,"21,942",22-189 (Interferon alpha-5),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
