C1,C2,C3,C4,C5,C6,C7,C8,C13,C18,C23,C9,C19,C14,C24,C10,C15,C20,C25,C15,C11,C16,C21,C26,C12,C17,C22,C27,,,
Q15768,,F,T,F,F,Q15768,Adipose tissue - Omental,"Blood - Peripheral - T lymphocytes CD8+,natural killer (NK) lymphocytes,B lymphocytes*",Bone marrow - CD4+ T-cells,Brain*,"Brain - Caudate nucleus,and temporal lobe*","Brain - Frontal cortex,middle temporal gyrus,nucleus accumbens",Dental pulp - Stem cells,Epidermis - Langerhans cells*,Heart - Coronary artery smooth muscle cells,Heart - Microvascular - Endothelial cells*,Lung - Epithelial cells,Lung - Pulmonary microvessel endothelium cells*,Ovary*,Skin - Fibroblasts,Testis,,,,,,,,,
Q15848,,F,T,F,F,Q15848,Adipose tissue - Abdominal subcutaneous and omental adipose tissue - Adipocytes*,Adipose tissue - Mediastinal,"Blood - Peripheral - Lymphocytes (NK cells,B cells,CD4+/CD8+ T cells)*",Breast - Mammary gland,Cartilage - Layer of synovial tissue,Heart*,Lung - Microvascular - Endothelial cells,Lung - Parietal pleura,Parotid gland,Placenta,Pleural (chest),Prostate,Thoracic mammary gland*,Thyroid,Vagina,,,,,,,,,
Q16552,,F,T,F,F,Q16552,"Blood - Peripheral - B-lymphocytes,natural killer (NK) lymphocytes,and activated T cells*",Bone marrow - Endothelium progenitor cells,Colon - Transverse and rectum,Eye - Tarsal conjunctiva,Heart- microvascular - Endothelial cells,Liver - Portal triad*,Lung - Microvascular - Endothelial cells*,Mouth - Oral cavity*,Thyroid - Epithelial cells,Tonsil - Activated T cells - CD4+,,,,,,,,,,,,,,
Q16568,,F,T,F,F,Q16568,Adrenal gland,Aorta*,Aortic root wall*,"Brain - Ammon's horn,Brodmann area 46,prefrontal cortex,and temporal lobe","Brain - Dorsal plus ventral thalamus,middle temporal gyrus,thalamus and frontal lobe*",Colon - Rectum,Heart - Middle septum,Placenta*,Testis*,Thyroid - Epithelial cells,,,,,,,,,,,,,,
Q16619,,F,T,F,F,Q16619,Adrenal gland,Blood - Peripheral - B-lymphocytes and natural killer (NK) lymphocytes,Bone - Osteoblast like cells,Bone marrow - Plasma cells,Female gonad,Heart*,Kidney*,Lung - Epithelial cells,Ovary*,Prostate gland,Salivary gland*,Skin - Fibroblasts*,"Tonsil - CD4+ resting and regulatory T-cells,and natural killer cells*",Tonsil - CD8+ resting and activated T-cells,,,,,,,,,,
Q16627,,F,T,F,F,Q16627,"Adipose tissue - Mediastinal adipose tissue (MAT,intrathoracic adipose tissue)*",Adipose tissue - Visceral omentum,Adrenal gland,"Blood - Peripheral - Mononuclear cells (PBMC),hematopoietic stem and progenitor cells CD34+,monocytes CD14+",Brain,Liver*,Lung,Lymphatic microvessel - Dermal endothelium cells,Prostate*,Rectus muscle - Medial,Skin - Fibroblasts*,Spleen*,Testis*,Urethra,,,,,,,,,,
Q16661,,F,T,F,F,Q16661,Blood - Lymphoblastoid cells*,"Colon - Descending and distal colonic mucosa,and rectum*",Colon - Sigmoid colonic mucosa*,Intestine - Mucosal cells,Placenta,Small intestine*,Thyroid*,,,,,,,,,,,,,,,,,
Q16663,,F,T,F,F,Q16663,"Colon - Ascending,polyp,proximal mucosa,and sigmoid - Mucosa*",Colon - Rectum,Heart - Microvascular - Endothelial cells*,Intestine - Ileum - Epithelial cells*,Intestine - Mucosal cells,Kidney,Liver*,Lung - Epithelial cells,Lung - Microvascular - Endothelial cells*,Rectum,Small intestine*,,,,,,,,,,,,,
Q4G0M1,,F,T,F,F,Q4G0M1,Adipose tissue - Omental*,"Blood - Erythroid progenitor cells,and erythroblasts*","Blood - T-lymphocytes - CD8+,T-lymphocytes - CD4+,B-lymphocytes*",Bone Marrow,Brain - Cerebellum and cerebral cortex*,Heart - Right atrial appendage and left ventricular free wall - Myocardial cells,Liver*,Muscle - Skeletal muscle,Placenta - Basal plate (37-40 weeks),Testis*,Umbilical cord - Mesenchymal stem cells,,,,,,,,,,,,,
Q5H8A3,,F,T,F,F,Q5H8A3,"Blood - Peripheral - Leukocytes,T-lymphocytes,hematopoietic stem and progenitor cells - CD34+,monocytes - CD14+,macrophages - CD14+,and mononuclear cells (PBMC)*",Hypothalamus,Muscle - Skeletal - Vastus lateralis*,Sperm,Spinal cord,,,,,,,,,,,,,,,,,,,
Q5T1H1,,F,T,F,F,Q5T1H1,Adipose tissue - Omental*,"Blood - Granulocyte-macrophage progenitor (GMP) cells,and promyelocytes","Blood - Macrophages CD14+,leukocytes,hematopoietic stem and progenitor cells CD34+,and memory T cells*","Colon - Terminal ileum,ascending,sigmoid*",Female gonad,Heart - Cardiomyocytes*,Placenta,Testis*,Umbilical cord - Mesenchymal stem cells,,,,,,,,,,,,,,,
Q5T4W7,,F,T,F,F,Q5T4W7,Bladder - Urinary bladder cells - Urothelium (epithelium) cells,Bone marrow- plasma cells,"Brain - Cellebrum,diencephalon*",Brain - Cerebral artery,Breast - mammary gland cells - Epithelium cells*,Colon - Rectum,Heart - Microvascular - Endothelial cells*,Kidney,"Lung - Bronchial cells - Epithelium cells 3D culture,bronchial (primary,main stem) epithelium cells,large airway cells*",Lung - Lower lobe of lung,"Mouth - Gingival epithelium organotypic model,buccal epithelium organotypic model",Muscle - Skeletal - Myotubes*,"Muscle - Vastus lateralis,skeletal muscle tissue,quadriceps femoris*",Placenta,Prostate gland*,Testis,Uterine - Myometrium,,,,,,,
Q5VYX0,,F,T,F,F,Q5VYX0,Adrenal *,"Blood - Lymphoblastoid cells,NK cells,CD8+ cells*",Bone - Growth plate,"Brain - Cerebellum,Brodmann area 22",Breast - Mammary gland,Colon - Rectum*,Female gonad - Stromal cells,"Heart - Cardiomyocyte,RV septum,R Ventricle,LV myocardium,R atrial appendage*",Intestine*,Kidney,Liver*,Placenta - Basal plate,Skin - Fibroblasts,Spinal cord,Stomach,Thyroid - Epithelial cells,,,,,,,,
Q6EBC2,,F,T,F,F,Q6EBC2,"Blood - Lymphoblastoid cells,peripheral leukocytes,monocytes - CD14+,hematopoietic stem and progenitor cells - CD34+*","Colon - Ascending,terminal ileum,sigmoid*",,,,,,,,,,,,,,,,,,,,,,
Q6KF10,,F,T,F,F,Q6KF10,"Blood - Peripheral - B lymphocytes,T lymphocytes,NK cells,lymphoblastoid cells,leukocytes,hematopoietic stem and progenitor cells,macrophages,monocytes,mononuclear cells*","Colon - Ascending,terminal,sigmoid*",Muscle - Skeletal - Vastus lateralis,Placenta*,Sperm,Testis*,,,,,,,,,,,,,,,,,,
Q6KF10,,F,T,F,F,Q6KF10,"Blood - Peripheral - B lymphocytes,T lymphocytes,NK cells,lymphoblastoid cells,leukocytes,hematopoietic stem and progenitor cells,macrophages,monocytes,mononuclear cells*","Colon - Ascending,terminal,sigmoid*",Muscle - Skeletal - Vastus lateralis,Placenta*,Sperm,Testis*,,,,,,,,,,,,,,,,,,
Q6UW88,,F,T,F,F,Q6UW88,"Blood - Peripheral - Monocytes - CD14+,hematopoietic stem and progenitor cells - CD34+,mononuclear cells (PBMC),macrophages - CD14+,leukocytes,natural killer (NK) lymphocytes,B-lymphocytes,T-lymphocytes and - Lymphoblastoid cells*",Cervix,"Colon - Terminal ileum,ascending,sigmoid*",Esophagus - Mucosa *,Male Sperm,Muscle - Skeletal - Vastus lateralis,Placenta,Skin*,Uterus,,,,,,,,,,,,,,,
Q6UXB2,,F,T,F,F,Q6UXB2,Blood - Peripheral - natural killer (NK) cells,Eye - Palpebral conjunctiva*,Eye - Tarsal conjunctiva,Heart - Right atrial appendage - Myocardial cells,"Lung - Bronchial - Epithelial cells,and upper lobe ","Lung - Cuboidal alveolar type 2 cells (AT2),Large airway epithelium cells,and microvascular endothelial cells*","Nose - Epithelium,and epithelial cells*",Pancreas,Placenta - Basal plate (37-40 weeks),Prostate,Stomach*,Trachea - Epithelium cells,Vagina,,,,,,,,,,,
Q6UXH0,,F,T,F,F,Q6UXH0,Adipose tissue - Gluteal - Subcutaneous*,Alimentary system cells,Amniotic fluid,Biliary system*,Blood - Peripheral - natural killer (NK) lymphocyte*,Breast - Thoracic mammary gland,Kidney*,Liver - Hepatocyte and hepatic mucosa cells*,Skin,,,,,,,,,,,,,,,
Q6UY11,,F,T,F,F,Q6UY11,"Blood - Peripheral - Erythroid progenitors - CD34+,natural killer (NK) lymphocytes,B-lymphocytes,and T-lymphocytes - CD4+   *",Bone marrow - Plasma cells,Brain - Cerebellum and frontal cortex*,Breast (mammary gland) - Epithelium cells*,Bronchus - Epithelium*,Epidermal keratinocyte,Epidermis cells (unspecified),Hair follicle keratinocyte*,Heart*,Lung - Epithelial cells,Oral cavity - Mucosa,Prostate gland,Thyroid,Vagina,,,,,,,,,,
Q6ZMJ4,,F,T,F,F,Q6ZMJ4,Adipose tissue - Omental*,Adrenal gland*,"Blood - NK cells,T cells CD8+,B cells,T cells CD4+*","Blood - Platelet,NK cells",Brain - Cerebral cortex,Brain - Frontal cortex*,Heart*,Heart -  left ventricular free wall - Myocardial cells,Kidney,Liver- portal triad*,Lung,Placenta - Basal plate (37-40 weeks),Small intestin - Duodenum,Spleen *,Testis,"Tonsil - CD4+ resting T-cells,CD8+ resting T-cells*",,,,,,,,
Q7Z4P5,,F,T,F,F,Q7Z4P5,Aorta - Aortic root wall*,Artery,"Blood - Peripheral - Hematopoietic stem and progenitor cells CD34+,monocytes CD14+,and T-lymphocytes","Blood - Peripheral - Leukocytes,and mononuclear cells (PBMC)*",Blood vessel,Kidney*,Liver,Spleen,Umbilical artery - Endothelium cells*,Uterus - Uterine endometrium*,,,,,,,,,,,,,,
Q7Z5Y6,,F,T,F,F,Q7Z5Y6,Blood - B cells,"Blood - Erythroid progenitors CD34+,and leukocytes*",Colon - Colonic epithelium cells (colonocyte),"Heart - Microvascular endothelial cells,and middle septum",Heart - Right ventricle interventricular septum*,Lung - Aveoli cuboidal type 2 cells,Lung - Microvascular endothelial cells*,Pancrea - Pancreatic islet cells,Testis*,Thyroid*,,,,,,,,,,,,,,
Q7Z7M0,,F,T,F,F,Q7Z7M0,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD8+,T-lymphocytes - CD4+,B-lymphocytes,lymphoblastoid cells*","Brain - Temporal lobe,frontal cortex,cerebellum,middle temporal gyrus,occipital lobe,prefrontal cortex,caudate nucleus,nucleus accumbens,parietal lobe,amygdala,putamen,dorsolateral prefrontal cortex,cerebral cortex,hypothalamus,cerebellar vermis,entorhinal cortex,dorsal plus ventral thalamus,globus pallidus,amygdala,hypothalamus,astrocyte*",Breast,"Colon - Terminal ileum,ascending","Heart - Coronary artery endothelium cells,and cardiomyocytes*","Heart - Left ventricular free wall,right atrial appendage - Myocardial cells",Kidney,Oral cavity - Parotid gland,Ovary,Skin - Fibroblasts,Spinal cord*,Umbilical cord - Vein - Vascular endothelial cells (HUVEC)*,,,,,,,,,,,,
Q86WN2,,F,T,F,F,Q86WN2,Adipose tissue - Omental,"Blood - NK cells,B cells,lymphoblastoid cells,T cells - CD8+,platelets,and outgrowth endothelial cells*","Colon - Ascending,rectum*",Heart - Right ventricle interventricular septum*,"Lung - Bronchial aveolar macrophages,bonchial smooth muscle cells,and epithelium cells",Lung - Lower lobe*,Nose - Epithelial cells,Skeletal muscle,,,,,,,,,,,,,,,,
Q8IU54,,F,T,F,F,Q8IU54,Airway - Bronchial - Macrophages (alveolar),"Blood - CD8+,T cells,CD4+*","Blood - Mononuclear cells,platelets,epithelial cells,NK cells,Leukocytes,lymphocytes",Bone Marrow - Erythroblast,Colon - Rectum*,Liver - Portal triad*,"Lung - Macrophages,and cuboidal alveolar type 2 cells (AT2)",Nose - Epithelial cells,Omentum - Adipose*,Skin - Zone of skin*,Thyroid,Tonsils - Tonsillar resting T-cells,,,,,,,,,,,,
Q8IZI9,,F,T,F,F,Q8IZI9,Adipose tissue - Omental,Airway - Bronchial - Macrophages (alveolar),Blood - CD4+ T-large granular lymphocyte,"Blood - T-lymphocytes - CD4+,T-lymphocytes - CD8+,natural killer (NK) lymphocytes,lymphoblastoid cells,B-lymphocytes,and platelets*",Colon - Rectosigmoid colonic mucosa,"Colon - Sigmoid colonic mucosa and rectosigmoid colonic mucosa,terminal and ascending ileum*","Colon - Terminal ileum,rectum,sigmoid,and ascending*",Extraembryonic tissue - Amniotic fluid,Liver - Portal triad (portal tract)*,Nose - Epithelial cells,,,,,,,,,,,,,,
Q8IZJ0,,F,T,F,F,Q8IZJ0,Adipose tissue - Omental*,"Blood - Peripheral - CD4+ T-large granular lymphocytes,platelets,and mononuclear cells (PBMC)",Blood - Peripheral - T-lymphocytes - CD4+*,Colon - Rectum,"Colon - Sigmoid colonic mucosa,rectosigmoid colonic mucosa*",Fetal - Amniotic fluid,Liver - Portal triad (portal tract)*,Nose - Epithelium of nasopharynx*,,,,,,,,,,,,,,,,
Q8NEV9,,F,T,F,F,Q8NEV9,Adipose tissue - Omental,"Blood - Peripheral - Natural killer (NK) lymphocytes,T-lymphocytes - CD4+ and CD8+,B-lymphocytes,and lymphoblastoid cells*","Colon - Terminal ileum,sigmoid,ascending,and rectum*",Liver*,Nose - Epithelial cells,Placenta,Tonsil - CD4+ regulatory T-cells and CD8+ resting T-cells,Tonsil - natural killer cells*,Umbilical cord,,,,,,,,,,,,,,,
Q8WWG1,,F,T,F,F,Q8WWG1,Adipose tissue - Omental,Airways - Bronchiolar (small airway) epithelium cells,"Blood - Peripheral - T-lymphocytes - CD8+,natural killer (NK) lymphocytes,B-lymphocytes,lymphoblastoid cells,T-lymphocytes - CD4+,mononuclear cells (PBMC)*","Bone marrow - Granulocyte-macrophage progenitor (GMP) cells,promyelocyte*","Brain - Cerebellum,frontal cortex*",Female gonad,"Heart - Right atrial appendage,left ventricular free wall - Myocardial cells",Liver,Muscle - Vastus lateralis muscle,"Pancreas - Islet cells,duct (duct of Wirsung)*",Placenta - Basal plate (37-40 weeks),Prostate gland,Stomach*,Testis*,"Umbilical cord - Vein - Vascular endothelial cells (HUVEC),mesenchymal stem cells*",,,,,,,,,
Q92583,,F,T,F,F,Q92583,Adipose tissue,Astrocyte,Blood - Lymphoblastoid cells*,Blood - Peripheral - CD4+ T-large granular lymphocyte,Bone marrow - Plasma cells,"Brain - Brodmann area 22,and Frontal",Brain - Dendritic cells*,Bronchus - Epithelial cells*,Colon - Rectum,Lung*,Lung - Microvascular - Endothelial cells*,Monocyte derived dendritic cells*,Oral cavity,Skin,Testis*,,,,,,,,,
Q92913,,F,T,F,F,Q92913,Adipose tissue,Blood - Lymphocyte,Brain*,Colon *,Female gonad*,Heart - Middle septum,Lung - Microvascular - Endothelial cells*,Placenta,Spinal cord,Testis,,,,,,,,,,,,,,
Q92914,,F,T,F,F,Q92914,Blood - Peripheral - natural killer (NK) lymphocytes*,Bone marrow - Mesenchymal stem cells,"Brain - Diencephalon,cerebellum*","Brain - Putamen,internal (medial) globus pallidus,accumbens nucleus",Fetal - Amniotic fluid*,"Heart - Right atrial appendage and left ventricular free wall - Myocardial cells,middle septum*",Liver,Placenta*,Placenta - Basal plate (37-40 weeks),Skin*,Spleen,Tonsils - Tonsillar CD4+ and CD8+ resting T-cells*,Umbilical cord - Mesenchymal stem cells,,,,,,,,,,,
Q92915,,F,T,F,F,Q92915,Adipose tissue - Omental*,Blood - Erythroid progenitors CD34+*,"Brain - Associative striatum,Brodmann (1909) area 23,cerebellum,frontal cortex,hindbrain (rhombencephalon),metencephalon,and superior frontal gyrus","Brain - Cerebellum,middle temporal gyrus,cerebral cortex,diencephalon,and caudate nucleus*","Heart - Microvascular - Endothelial cells,left ventricular free wall - Myocardial cells,right atrial appendage - Myocardial cells",Lung - Bronchial epithelial cells*,Lung - Microvascular - Endothelial cells,Spinal cord*,,,,,,,,,,,,,,,,
Q92954,N/A,F,T,F,F,Q92954,Ammon's Horn,Blood - Granulocyte*,"Blood - Lymphoblastoid cells,NK cells","Brain - Hippocampus,superior frontal gyrus,entorhinal cortex,associative striatum,astrocytes,temporal lobe,cerebellum,prefrontal cortex,frontal cortex,entorhinal cortex,anterior cingulate gyrus,cerebral cortex,and amygdala*",Breast*,"Colon - Sigmoid,ascending*",Coronary artery - Smooth muscle,Heart,Intestine - Terminal Ileum*,Liver*,Muscle - Skeletal,Placenta,Skin - Lower leg,Testis*,Thyroid - Epithelial cells,,,,,,,,,
Q92954,,F,T,F,F,Q92954,"Blood - Lymphoblastoid cells,NK cells*",Blood vessel - Left internal mammary artery*,Breast,Cartilage - Chondrogenic progenitor cells,"Colon - Sigmoid,ascending,terminal ileum*","Connective tissue - synovial tissue,and synovium fibroblasts*",Heart - Microvascular endothelial cells,Liver *,Lung *,"Lung - Parietal pleura,visceral pleura",Ovary - Epithelium cells,Placenta,Skeletal muscle,Skeletal muscle,Tendon*,Thyroid - Epithelial cells,,,,,,,,
Q99075,,F,T,F,F,Q99075,Adrenal gland*,Blood - Erythroblast and helper (CD4+ effector) T-cells*,"Blood - T-lymphocytes - CD8+,natural killer (NK) lymphocytes,B-lymphocytes,erythroblast and helper (CD4+ effector) T-cells*",Bone marrow - Erythroblast,Brain - Brodmann area 22,"Brain - Cerebral cortex,diencephalon*",Colon - Rectosigmoid colonic mucosa and sigmoid colonic mucosa*,Colon - Rectum,Eye - Trabecular meshwork cells,Fallopian tube,Heart - Microvascular - Endothelial cells and subendocardial left ventricle*,Kidney - Metanephric glomerulus,Lung,Mouth - Epithelial cells,Muscle - Skeletal muscle tissue,Prostate - Basal cells - CD104+,Synovium - Layer of synovial tissue*,,,,,,,
Q99616,,F,T,F,F,Q99616,"Blood - Monocyte derived dendritic cells,monocyte derived macrophage*",Breast,"Colon - Ascending,mucosa*",Heart - Aortic valve,Heart - Microvascular - Endothelial cells*,Lung*,Lung - Epithelial cells,Lung - Microvascular - Endothelial cells*,Placenta*,Skin,Skin - Fibroblasts,Synovial membrane*,,,,,,,,,,,,
Q99731,,F,T,F,F,Q99731,Aorta*,Appendix - Vermiform *,Blood - Lymphoblastoid cells*,Brain - Temporal Lobe,Colon - Mucosa and Rectum,Coronary Artery*,Kidney,Lymph node - Inguinal*,Mediastinum - Adipose*,Omentum - Adipose,Placenta,Prostate - Fibromuscular stroma,Skin - Lower leg,Thymus,Thyroid,Tonsil,,,,,,,,
Q99748,,F,T,F,F,Q99748,"Blood - Peripheral - T lymphocytes CD8+,lymphoblastoid cells,natural killer (NK) lymphocytes,T lymphocytes CD4+*",Bone marrow - Plasma cells,"Colon - Sigmoid,terminal ileum,ascending,rectum*",Heart*,Heart - Atrium and ventricle,Kidney*,Liver*,"Mouth - Buccal epithelium,gingival epithelium*",Muscle - Skeletal - Myotubes,Pancreas - Pancreatic islet cells*,Retina*,Stomach,Testis,Thyroid - Epithelial cells,,,,,,,,,,
Q99969,,F,T,F,F,Q99969,Abdoman - Adipose tissue,Adipose tissue - Abdominal subcutaneous - Adipocytes,Adrenal gland*,Biliary system*,"Blood - Erythroid progenitors CD34+,lymphoblastoid cells*",Colon - Terminal ileum*,Gluteal subcutaneous adipose tissue (glutSAT),Liver*,Lung - Parietal pleura,Ovary,Pancreatic duct - Duct of Wirsung,Prostate,Subcutaneous abdominal adipose tissue (SAAT),Thoracic mammary gland,,,,,,,,,,
Q99988,,F,T,F,F,Q99988,"Blood - Erythroid progenitors - CD34+,lymphoblastoid cells*",Bronchia - Epithelium of bronchus,Chorion villus*,Colon - Rectum,"Colon - Terminal ileum,ascending,sigmoid*",Heart - Middle septum,Kidney*,Liver,Muscle - Skeletal - Myotubes,Nose - nasal epithelium cells,Pancreas - Islet of Langerhans*,Placenta*,Prostate gland,Urinary bladder*,Vessel - Microvascular endothelium cells,,,,,,,,,
Q9BY76,,F,T,F,F,Q9BY76,Adipose tissue*,Bladder - Urothelium (epithelium) cells*,"Blood - Lymphoblastoid cells,peripheral - T-lymphocytes CD4+ and CD8+*",Bone marrow - Mesenchymal stem cells,Brain,Cartilage - Chondrocyte,"Colon - Sigmoid,ascending*",GI tract - Alimentary system cells,"Heart - Left ventricular free wall - Myocardial cells,- Right atrial appendage - Myocardial cells",Kidney,"Liver - Hepatocyte,hepatic mucosa cells,myofibroblasts*","Lung - Pulmonary myofibroblasts,mucosa cells,fibroblasts",Placenta - Basal plate (37-40 weeks),Prostate gland,Synovial joint -  layer of synovial tissue*,Thoracic mammary gland,,,,,,,,
Q9GZV9,,F,T,F,F,Q9GZV9,"Blood - Peripheral - Leukocyte,monocyte derived dendritic cells*",Blood - Peripheral - T-lymphocytes - CD4+,Bone marrow - Plasma cells*,Lung - Epithelial cells*,Lymph node - Tonsil T cells*,Placenta - Basal plate (37-40 weeks),Thyroid - Epithelial cells,,,,,,,,,,,,,,,,,
Q9GZX6,,F,T,F,F,Q9GZX6,"Blood - Peripheral - Helper (CD4+ effector) T-cells and CD4+ T-large granular lymphocyte,Lymphoblastoid cells*","Bone marrow - Endothelium progenitor cells,and plasma cells",Colon - Ascending*,Liver - Portal triad (portal tract),Placenta - Basal plate (37-40 weeks),Thyroid - Epithelial cells,Tongue - Squamous epithelium cells,Tonsil - Activated T-cells and natural killer cells*,,,,,,,,,,,,,,,,
Q9GZX6,,F,T,F,F,Q9GZX6,Blood - Lymphoblastoid cells*,Blood - Peripheral - Helper (CD4+ effector) T-cells and CD4+ T-large granular lymphocyte*,"Bone marrow - Endothelium progenitor cells,and plasma cells",Colon - Ascending*,Liver - Portal triad (portal tract),Placenta - Basal plate (37-40 weeks),Thyroid - Epithelial cells,Tongue - Squamous epithelium cells,Tonsil - Activated T-cells and natural killer cells*,,,,,,,,,,,,,,,
Q9H1U4,,F,T,F,F,Q9H1U4,Blood - Granulocytes (polymorphonuclear leukocyte and neutrophil)*,Bone marrow - Mononuclear cells,"Brain - Diencephalon,cerebral cortex,cerebellum,trigeminal ganglion,corpus callosum*","Brain - Frontal,Genu,internal (medial) globus pallidus","Heart - Microvascular - Endothelial cells,subendocardial left ventricle*",Kidney,Liver,Lung - Microvascular - Endothelial cells*,Retina - Pigmented layer,Skin - Upper nates,Spinal cord*,Spinal cord - Dorsal root ganglion,Thyroid - Epithelial cells,,,,,,,,,,,
Q9H293,,F,T,F,F,Q9H293,Amniotic fluid,"Blood - Peripheral - B-lymphocytes,natural killer (NK) lymphocytes,T-lymphocytes - CD8+*",Blood - Peripheral - Eosinophil granulocyte,Bone marrow - Plasma cells*,Colon - Rectum,Liver - Portal triad*,Lung - Epithelial cells,Mouth,Placenta - Basal plate (37-40 weeks),Tongue - Squamous epithelium cells*,,,,,,,,,,,,,,
Q9H2A7,,F,T,F,F,Q9H2A7,Airway - Bronchial - Macrophages (alveolar)*,"Blood - Erythroid progenitors CD34+,peripheral - T lymphocytes CD8+,T lymphocytes CD4+,mononuclear cells (PBMC),macrophages CD14+,B lymphocytes*",Blood - Myeloid leukocyte,"Conjunctiva - Mucosa cells,tarsal conjunctiva",Epidermis - Langerhans cells,Heart - Right atrial appendage - Myocardial cells,Kidney,Liver,Lung*,Lung - Macrophage*,"Lung - Upper lobe,lower lobe",Placenta - Basal plate (37-40 weeks),Small intestine,Spleen,Synovial tissue,Testis*,,,,,,,,
Q9H772,,F,T,F,F,Q9H772,Blood - Peripheral - Lymphocyte*,Bone marrow - Mesenchymal stem cells,Brain - Cortex and frontal,Colon*,Colon - Rectum*,Eye*,Gall bladder*,Heart - Myocardial cells*,Liver*,Lung - Fibroblast,Muscle - Skeletal,Oral cavity,"Skin - Scalp,dermal fibroblasts,dermal cells",Small intestine,Stomach,Thyroid - Epithelial cells,Uterus - Endometrium,,,,,,,
Q9HBE4,,F,T,F,F,Q9HBE4,"Blood - Peripheral - Helper (CD4+ effector) T-cells,CD4+ activated T-cells,natural killer (NK) lymphocytes*",Bone Marrow - Plasma cells,Colon - Rectum,Heart - Left ventricle*,Lung - Epithelial cells*,Mouth - Buccal mucosa cells*,Placenta - Basal plate (37-40 weeks),Skeletal - Growth plate,,,,,,,,,,,,,,,,
Q9HCT0,,F,T,F,F,Q9HCT0,"Blood - Lymphoblastoid cells,T-lymphocytes - CD4+,natural killer (NK) lymphocytes,T-lymphocytes - CD8+,and B-lymphocytes*",Blood - Peripheral - natural killer T-cells,Bone marrow - Plasma cells,"Brain - Cerebellum,frontal cortex,and cerebral cortex*","Cartilage - Chondrogenic progenitor cells,cartilage cells and chondrocyte","Colon - Sigmoid,terminal ileum,rectum,and cecum*",Nipple,Placenta - Basal plate (37-40 weeks),Skin - Epidermis*,Thyroid - Epithelial cells,Tonsil - CD8+ resting T-cells and CD8+ resting T-cells*,,,,,,,,,,,,,
Q9HD89,,F,T,F,F,Q9HD89,Adipose tissue - Omental,Airway - Bronchial - Macrophages (alveolar),Blood - Promyelocyte,"Blood -T-lymphocytes - CD8+,lymphoblastoid cells,and B-lymphocytes*",Bone - Trabecular bone tissue*,Bone - Transiliac crest core,Bone marrow - Mononuclear cells*,Colon - Rectum,Heart - Middle septum*,Hematopoietic and immune system*,Lung*,Lung - Alveolar macrophage,Spleen*,,,,,,,,,,,
Q9NP95,,F,T,F,F,Q9NP95,Adrenal,Amniotic fluid,"Blood - Lymphoblast,cerebellum,and outgrowth endothelial cells*",Breast,"Colon - Ascending,rectum",Female gonad*,Globus pallidus,Liver - Portal triad*,Placenta*,Pulmonary artery - Endothelium,Thyroid - Epithelial cells,,,,,,,,,,,,,
Q9NP95,,F,T,F,F,Q9NP95,Adrenal,Amniotic fluid,"Blood - Lymphoblast,cerebellum,and outgrowth endothelial cells*",Breast,"Colon - Ascending,rectum",Female gonad*,Globus pallidus,Liver - Portal triad*,Placenta*,Pulmonary artery - Endothelium,Thyroid - Epithelial cells,,,,,,,,,,,,,
Q9NP95,,F,T,F,F,Q9NP95,Adrenal,Amniotic fluid,"Blood - Lymphoblast,cerebellum,and outgrowth endothelial cells*",Breast,"Colon - Ascending,rectum",Female gonad*,Globus pallidus,Liver - Portal triad*,Placenta*,Pulmonary artery - Endothelium,Thyroid - Epithelial cells,,,,,,,,,,,,,
Q9NP95,,F,T,F,F,Q9NP95,Adrenal,Amniotic fluid,"Blood - Lymphoblast,cerebellum,and outgrowth endothelial cells*",Breast,"Colon - Ascending,rectum",Female gonad*,Globus pallidus,Liver - Portal triad*,Placenta*,Pulmonary artery - Endothelium,Thyroid - Epithelial cells,,,,,,,,,,,,,
Q9NPF7,,F,T,F,F,Q9NPF7,"Blood - Lymphoblastoid cells,and peripheral - T cells*",Bone marrow,"Colon - Sigmoid,ascending",Eye - Conjunctival mucosa cells*,Fallopian tube*,Female gonad*,Heart,Lung,"Lymph node - Thyroid,and Tonsillar T cells",Oral cavity,Spleen*,Testis*,Thyroid,,,,,,,,,,,
Q9NPH9,,F,T,F,F,Q9NPH9,"Blood - NK cells,lymphoblastoid cells,macrophage CD14+*",Bone - Osteoblast-like cells*,Bone marrow - Endothelium progenitor cells,Cartilage - Chondrogenic progenitor cells*,"Colon - Sigmoid,rectum",Connective tissue - Synovial fibroblasts,Liver - Portal triad,Lung - Microvascular endothelial cells*,Skin*,Thyroid - Epithelial cells,Umbilical cord - Vein,,,,,,,,,,,,,
Q9NR23,,F,T,F,F,Q9NR23,"Blood - Peripheral - B-lymphocytes,and natural killer T-cells","Blood - Peripheral - Natural killer (NK) lymphocytes,T-lymphocytes - CD4+,lymphoblastoid cells*","Brain - Pars compacta,pars reticulata","Colon - Terminal ileum,ascending,and sigmoid*",Female gonad*,Heart,Spleen*,Testis*,Thyroid,"Tonsils - Tonsillar CD4+ and CD8+ resting T-cells,tonsillar CD4+ and CD8+ activated T-cells*",Umbilical vein - Endothelium cells*,,,,,,,,,,,,,
